program,rewrite_id,dataset,variant,run,relation,rule_kind,rule,rule_runtime_ms,rule_num_tuples,rule_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",449.65,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",61.489,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1693.13,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",326.155,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",448.536,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.421,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1625.5,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",296.564,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",418.8,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57.181,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
