program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,18,0.537,0.000537,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,19,0.398,0.000398,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,2,0.525,0.000525,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,20,0.423,0.000423,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,21,0.447,0.000447,4608
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,22,0.456,0.000456,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,23,0.475,0.000475,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,24,0.396,0.000396,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,25,0.489,0.000489,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,26,0.455,0.000455,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,27,0.581,0.000581,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,28,0.418,0.000418,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,29,0.435,0.000435,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,3,0.642,0.000642,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,30,0.39,0.00039,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,4,0.575,0.000575,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,5,0.474,0.000474,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,6,0.456,0.000456,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,7,0.934,0.000934,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,8,0.856,0.000856,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,noopt,9,0.669,0.000669,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,1,0.372,0.000372,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,10,0.527,0.000527,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,11,0.48,0.00048,4736
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,12,0.429,0.000429,4864
0_origineel_programma_bounded_negation_voor_herschrijving,0,50nodes_0p02density,std,13,0.423,0.000423,4864
