rewrite_id,rewrite_label,dataset,variant,run,source_file,relation,rule_src,rule_runtime_us,rule_num_tuples,rule_maxRSS_post,rule_runtime_ms
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,25,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run25.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",414324,499537,72320,414.324
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,25,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run25.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56643,67499,86016,56.643
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,25,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run25.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1548181,432038,83328,1548.181
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,26,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run26.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",287236,499537,60160,287.236
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,26,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run26.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",416952,499537,72320,416.952
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,26,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run26.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56287,67499,86144,56.287
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,26,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run26.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1573364,432038,83200,1573.364
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,27,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run27.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",315476,499537,60032,315.476
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,27,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run27.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",449650,499537,72192,449.65
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,27,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run27.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",61489,67499,85632,61.489
